rank,prev_rank,name,league,off,def,spi
234,231,Osasuna,Spanish Segunda Division,1.17,1.12,46.52
235,236,Tijuana,Mexican Primera Division Torneo Clausura,1.3,1.27,46.49
236,237,FK Qarabag,UEFA Europa League,1.26,1.22,46.48
237,238,Vorskla,UEFA Europa League,1.19,1.14,46.43
238,239,Queens Park Rangers,English League Championship,1.34,1.31,46.4
239,240,Alanyaspor,Turkish Turkcell Super Lig,1.33,1.3,46.4
240,253,Vasco da Gama,Brasileiro Série A,1.24,1.2,46.36
241,250,Chapecoense AF,Brasileiro Série A,1.21,1.17,46.31
242,229,Ceará,Brasileiro Série A,1.16,1.12,46.24
243,241,Tigre,Argentina Primera Division,1.44,1.43,46.0
244,242,St Gallen,Swiss Raiffeisen Super League,1.41,1.41,45.99
245,244,Ural Sverdlovsk Oblast,Russian Premier Liga,1.31,1.3,45.94
246,271,Djurgardens IF,Swedish Allsvenskan,1.25,1.24,45.89
247,246,Boavista,Portuguese Liga,1.21,1.19,45.86
248,247,Moreirense,Portuguese Liga,1.19,1.17,45.73
249,248,Hull City,English League Championship,1.4,1.41,45.67
250,249,FC Groningen,Dutch Eredivisie,1.11,1.09,45.64
251,274,IFK Norrkoping,Swedish Allsvenskan,1.4,1.4,45.59
252,251,Rubin Kazan,Russian Premier Liga,0.96,0.92,45.52
253,252,Panathinaikos,Greek Super League,1.1,1.08,45.49
254,254,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.42,1.44,45.37
255,255,Troyes,French Ligue 2,1.1,1.09,45.34
256,257,Sporting de Charleroi,Belgian Jupiler League,1.41,1.44,45.26
257,258,Metz,French Ligue 2,1.08,1.07,45.24
258,259,SV Zulte Waregem,Belgian Jupiler League,1.7,1.75,45.21
259,260,AEK Larnaca,UEFA Europa League,1.17,1.17,45.21
260,256,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.24,1.25,45.19
261,261,Newell's Old Boys,Argentina Primera Division,1.16,1.17,45.14
262,243,Botafogo,Brasileiro Série A,1.16,1.16,45.06
263,263,Philadelphia Union,Major League Soccer,1.44,1.48,45.05
264,264,Erzurumspor,Turkish Turkcell Super Lig,1.19,1.22,44.72
265,221,Nagoya Grampus Eight,Japanese J League,1.37,1.42,44.67
266,265,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.38,1.43,44.6
267,266,Sydney FC,Australian A-League,1.29,1.34,44.5
268,267,1. FC Union Berlin,German 2. Bundesliga,1.32,1.37,44.42
269,268,Preston North End,English League Championship,1.28,1.33,44.42
270,269,Luton Town,English League One,1.44,1.51,44.37
271,270,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.39,1.46,44.37
272,272,Wigan,English League Championship,1.28,1.34,44.28
273,273,Guadalajara,Mexican Primera Division Torneo Clausura,1.18,1.23,44.24
274,283,Yokohama F. Marinos,Japanese J League,1.46,1.55,44.18
275,275,Lanus,Argentina Primera Division,1.16,1.21,44.12
276,276,Videoton FC,UEFA Europa League,1.21,1.27,44.06
277,277,Brest,French Ligue 2,1.23,1.29,44.05
278,291,New York Red Bulls,Major League Soccer,1.31,1.38,43.95
279,278,Santa Clara,Portuguese Liga,1.25,1.32,43.93
280,245,Hammarby,Swedish Allsvenskan,1.43,1.52,43.92
281,279,Charlton Athletic,English League One,1.19,1.27,43.64
282,280,Atlético Tucumán,Argentina Primera Division,1.21,1.29,43.64
283,282,FC Nordsjaelland,Danish SAS-Ligaen,1.41,1.51,43.58
284,284,Talleres de Córdoba,Argentina Primera Division,1.04,1.11,43.44
285,285,San Lorenzo,Argentina Primera Division,1.04,1.11,43.4
286,286,Pumas Unam,Mexican Primera Division Torneo Clausura,1.37,1.49,43.24
287,287,Odense BK,Danish SAS-Ligaen,1.27,1.37,43.18
288,312,Málaga,Spanish Segunda Division,1.08,1.17,42.95
289,288,Argentinos Juniors,Argentina Primera Division,1.03,1.12,42.91
290,281,Dalian Aerbin,Chinese Super League,1.28,1.4,42.83
